contract_id,vendor,vendor_abn,description,category,contract_value,award_date,end_date,procurement_method,approved_by
CON-94320,Cardno (now Stantec),77 426 813 526,Rerum aspernatur dolor maxime aut.,Maintenance,1944719.02,15/10/2025,2026-06-14,Direct Negotiation,James Lee
CON-72065,Fulton Hogan,38 407 978 824,Necessitatibus veniam nam nam quia quisquam nemo.,IT Services,1510060.11,16/08/2025,2028-02-17,Panel Contract,Michele Simmons
CON-64592,AECOM,77 237 497 348,Recusandae mollitia magnam omnis modi nobis.,Professional Services,1126959.97,12/06/2024,2025-04-06,Direct Negotiation,Stephanie Pierce
CON-58637,Veolia Environmental,78 841 949 295,Impedit odio repudiandae eum dolores molestias fugiat mollitia.,Infrastructure,1844841.08,01/12/2024,2025-11-30,Panel Contract,Heather Chavez
CON-19539,Fulton Hogan,85 841 787 672,Quas voluptatem nisi maxime.,IT Services,1207829.48,26/01/2025,2026-08-29,Select Tender,Elizabeth Evans MD
CON-12009,Fulton Hogan,34 859 220 864,Accusantium reprehenderit porro eius mollitia nam unde culpa.,Maintenance,669263.8,17/01/2026,2028-11-08,Select Tender,Henry Taylor
CON-61987,Fulton Hogan,80 429 894 389,Dolorum ducimus error necessitatibus necessitatibus dolor aspernatur eveniet laboriosam laborum.,Maintenance,1409018.32,03/01/2025,2026-07-24,Direct Negotiation,Michele Weiss
CON-75179,GHD,22 922 839 580,Odit alias repellat fugit quod ullam ex sunt ipsa ut.,Professional Services,722491.01,06/06/2024,2027-03-29,Select Tender,Randy Adkins
CON-83731,Fulton Hogan,28 116 367 666,Ut odio odio amet minima eum natus eveniet possimus corrupti.,Waste Management,830790.69,12/01/2026,2027-11-26,Panel Contract,Yolanda Maddox
CON-40149,Cardno (now Stantec),82 953 351 611,Nemo at inventore ratione corporis excepturi labore quia molestias ea.,Waste Management,396402.61,29/10/2025,2027-11-28,Direct Negotiation,Jeffrey Wolfe
CON-94108,GHD,68 272 850 914,Laboriosam dicta hic necessitatibus natus voluptatum.,Professional Services,1644075.92,05/11/2025,2026-07-26,Select Tender,Dana Adams
